siteid,sex,age_group,num_patients,per_patients,P,N,standard_error,95_CI_below,95_CI_above,95_CI_below_x100,95_CI_above_x100
Germany,All,18 - 25,56,8.345752608047691,0.08345752608047691,56,0.0013659351325179185,0.011018749136903136,0.15589630302405066,1.1018749136903137,15.589630302405066
Germany,Female,18 - 25,33,10.030395136778116,0.10030395136778117,33,0.002734638445690635,0.0,0.2027997417836082,0.0,20.27997417836082
Germany,Male,18 - 25,23,6.725146198830409,0.06725146198830409,23,0.002727334906466947,0.0,0.16961029051170712,0.0,16.961029051170712
Germany,Other,18 - 25,0,,,0,,,,,
Italy,All,18 - 25,26,0.787878787878788,0.00787878787878788,26,0.00030064279155188247,0.0,0.04186333360218562,0.0,4.186333360218562
Italy,Female,18 - 25,8,0.5891016200294551,0.005891016200294551,8,0.0007320390160528023,0.0,0.058921206507971606,0.0,5.89212065079716
Italy,Male,18 - 25,8,0.42149631190727077,0.004214963119072708,8,0.0005246496506221956,0.0,0.04910921773845832,0.0,4.910921773845832
Italy,Other,18 - 25,0,,,0,,,,,
Singapore,All,18 - 25,13,22.413793103448278,0.22413793103448276,13,0.013376932223543402,0.0,0.45082896047756493,0.0,45.08289604775649
Singapore,Female,18 - 25,6,20.0,0.2,6,0.026666666666666672,0.0,0.5200666597236686,0.0,52.00666597236686
Singapore,Male,18 - 25,7,25.0,0.25,7,0.026785714285714284,0.0,0.5707802986469088,0.0,57.07802986469088
Singapore,Other,18 - 25,0,,,0,,,,,
USA,All,18 - 25,406,8.041196276490394,0.08041196276490395,406,0.00018213270691921096,0.05396047874413792,0.10686344678566997,5.396047874413791,10.686344678566998
USA,Female,18 - 25,251,9.397229502059155,0.09397229502059154,251,0.00033920917445878264,0.057873735982856264,0.1300708540583268,5.787373598285626,13.00708540583268
USA,Male,18 - 25,146,6.345067362016514,0.06345067362016514,146,0.0004070183947761125,0.02390826770737433,0.10299307953295594,2.390826770737433,10.299307953295594
USA,Other,18 - 25,0,0.0,0.0,0,,,,,
France,All,26 - 49,4127,34.53267508995063,0.3453267508995063,4127,5.477978822696792e-05,0.33082013053317977,0.35983337126583287,33.08201305331798,35.98333712658329
France,Female,26 - 49,2508,40.68786502271252,0.4068786502271252,2508,9.622345064452867e-05,0.38765231391476396,0.4261049865394865,38.7652313914764,42.610498653948646
France,Male,26 - 49,1618,27.978557841950547,0.27978557841950547,1618,0.00012453993110504835,0.2579124762313577,0.3016586806076532,25.79124762313577,30.165868060765323
France,Other,26 - 49,0,,,0,,,,,
Germany,All,26 - 49,255,38.00298062593144,0.38002980625931443,255,0.0009239496180934211,0.3204525886936402,0.4396070238249887,32.04525886936402,43.960702382498866
Germany,Female,26 - 49,133,40.42553191489361,0.4042553191489361,133,0.0018107741059302852,0.3208510638297872,0.487659574468085,32.085106382978715,48.7659574468085
Germany,Male,26 - 49,122,35.67251461988304,0.3567251461988304,122,0.0018809206251496188,0.2717207658789035,0.4417295265187573,27.17207658789035,44.17295265187573
Germany,Other,26 - 49,0,,,0,,,,,
Italy,All,26 - 49,678,20.545454545454543,0.20545454545454545,678,0.00024077134986225896,0.17504160055223691,0.23586749035685398,17.504160055223693,23.586749035685397
Italy,Female,26 - 49,355,26.141384388807072,0.2614138438880707,355,0.000543877876371082,0.2157043126077442,0.3071233751683972,21.57043126077442,30.71233751683972
Italy,Male,26 - 49,323,17.017913593256058,0.17017913593256057,323,0.0004372080421851629,0.12919647600353057,0.21116179586159056,12.919647600353057,21.116179586159056
Italy,Other,26 - 49,0,,,0,,,,,
Singapore,All,26 - 49,29,50.0,0.5,29,0.008620689655172414,0.3180185685864892,0.6819814314135109,31.801856858648918,68.19814314135108
Singapore,Female,26 - 49,17,56.666666666666664,0.5666666666666667,17,0.014444444444444444,0.3311039833363527,0.8022293499969806,33.110398333635274,80.22293499969805
Singapore,Male,26 - 49,12,42.857142857142854,0.42857142857142855,12,0.02040816326530612,0.14857142857142858,0.7085714285714285,14.857142857142858,70.85714285714285
Singapore,Other,26 - 49,0,,,0,,,,,
USA,All,26 - 49,2023,40.06734006734007,0.4006734006734007,2023,0.00011870203987454928,0.3793191093861191,0.42202769196068224,37.931910938611914,42.202769196068225
USA,Female,26 - 49,1124,42.081617371770875,0.42081617371770874,1124,0.00021684156730898213,0.3919541127210615,0.449678234714356,39.19541127210615,44.967823471435594
USA,Male,26 - 49,898,39.026510212950896,0.39026510212950893,898,0.0002649869178055155,0.3583594013310361,0.42217080292798176,35.83594013310361,42.21708029279817
USA,Other,26 - 49,1,50.0,0.5,1,0.25,0.0,1.48,0.0,148.0
France,All,50 - 69,3968,33.20224249016819,0.3320224249016819,3968,5.589302778832886e-05,0.3173691435097327,0.34667570629363104,31.736914350973272,34.667570629363105
France,Female,50 - 69,1726,28.00129785853342,0.2800129785853342,1726,0.00011680516246182118,0.2588299969228455,0.3011959602478229,25.882999692284546,30.11959602478229
France,Male,50 - 69,2242,38.768805118450636,0.3876880511845064,2242,0.00010588136759735323,0.3675199114150087,0.40785619095400405,36.75199114150087,40.785619095400406
France,Other,50 - 69,0,,,0,,,,,
Germany,All,50 - 69,207,30.849478390462,0.30849478390462,207,0.001030559189411893,0.2455742293771468,0.3714153384320932,24.55742293771468,37.14153384320932
Germany,Female,50 - 69,94,28.57142857142857,0.2857142857142857,94,0.0021710811984368217,0.19438835548680378,0.3770402159417676,19.438835548680377,37.704021594176766
Germany,Male,50 - 69,113,33.04093567251462,0.3304093567251462,113,0.001957867377996648,0.24368367817887066,0.41713503527142176,24.368367817887066,41.71350352714217
Germany,Other,50 - 69,0,,,0,,,,,
